"id","location_srs","location_x","location_y","operator","elevation","slope","aspect","region","country","geometry","area","map_class","map_class_label","actively_saved","actively_saved_on_year","actively_saved_on_month","actively_saved_on_day","plot_file","ref_class","ref_class_label","confidence","confidence_label","comments"
"295","EPSG:4326","4.468375","11.189875","Rasak Adekola","148","0.00191894172801666","3.2852457796781","Kebbi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"43","EPSG:4326","4.668875","8.239875","Rasak Adekola","375","0.00671862651267253","5.26506247998917","Kwara","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High","Gain not due to afforestation"
"60","EPSG:4326","4.648125","13.667375","Rasak Adekola","295","8.32056278331383E-4","1.5707963267949","Sokoto","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"123","EPSG:4326","6.013875","12.939625","Rasak Adekola","290","0.00234912066751287","3.77085398270282","Sokoto","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"181","EPSG:4326","9.200625","11.213375","Rasak Adekola","503","0.00434965885194818","6.21997998273227","Bauchi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"34","EPSG:4326","6.558125","12.665875","Rasak Adekola","382","0.00967504848080036","5.30779684180052","Zamfara","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"64","EPSG:4326","8.147125","13.099625","Rasak Adekola","452","0.0138794678638317","3.78266776031634","Katsina","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"254","EPSG:4326","9.080875","12.328625","Rasak Adekola","385","9.74981755805123E-4","1.71038557431633","Jigawa","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"149","EPSG:4326","6.436625","7.672875","Rasak Adekola","155","0.0221468933514919","2.97506591413157","Kogi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"208","EPSG:4326","8.424375","5.852875","Rasak Adekola","111","0.0165772980104203","1.76847823087101","Cross River","Nigeria","points","1.0","2","Stable forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
